Day,HA,Heat Deaths,Heat ED visits,Total patients,population,HW_EMS_0_8,HW_EMS_8_16,HW_EMS_16_24,HW_WI_0_8,HW_WI_8_16,HW_WI_16_24
1,0,1,4,5,1241379,0,0,0,1,2,1
2,0,2,7,9,1241379,0,1,1,1,3,3
3,0,7,25,32,1241379,1,2,2,4,11,9
4,0,17,61,79,1241379,3,6,5,10,28,23
5,0,30,105,135,1241379,5,10,9,17,48,39
6,0,7,26,34,1241379,1,3,2,4,12,10
7,0,4,16,21,1241379,1,2,1,3,7,6
8,0,2,9,12,1241379,0,1,1,1,4,3
1,1,0,2,3,857143,0,0,0,0,1,1
2,1,0,2,3,857143,0,0,0,0,1,1
3,1,2,9,12,857143,0,1,1,1,4,3
4,1,6,23,30,857143,1,2,2,4,11,9
5,1,11,40,52,857143,2,4,3,6,19,15
6,1,3,11,14,857143,1,1,1,2,5,4
7,1,1,5,7,857143,0,1,0,1,2,2
8,1,1,4,5,857143,0,0,0,1,2,1
1,2,2,9,12,1962264,0,1,1,1,4,3
2,2,4,14,18,1962264,1,1,1,2,6,5
3,2,15,54,70,1962264,3,5,4,9,25,20
4,2,38,133,171,1962264,7,13,11,21,61,49
5,2,65,228,293,1962264,11,22,19,37,104,84
6,2,16,56,72,1962264,3,5,5,9,26,21
7,2,9,33,43,1962264,2,3,3,5,15,12
8,2,5,19,25,1962264,1,2,2,3,9,7
1,3,0,2,3,813725,0,0,0,0,1,1
2,3,1,4,5,813725,0,0,0,1,2,1
3,3,4,14,18,813725,1,1,1,2,6,5
4,3,10,35,45,813725,2,3,3,6,16,13
5,3,17,61,79,813725,3,6,5,10,28,23
6,3,4,16,21,813725,1,2,1,3,7,6
7,3,2,9,12,813725,0,1,1,1,4,3
8,3,1,5,7,813725,0,1,0,1,2,2
1,4,0,0,0,302632,0,0,0,0,0,0
2,4,0,2,3,302632,0,0,0,0,1,1
3,4,1,4,5,302632,0,0,0,1,2,1
4,4,3,11,14,302632,1,1,1,2,5,4
5,4,5,18,23,302632,1,2,1,3,8,7
6,4,1,4,5,302632,0,0,0,1,2,1
7,4,0,2,3,302632,0,0,0,0,1,1
8,4,0,2,3,302632,0,0,0,0,1,1
